,Iteration,Day,Iteration total cost,Cash flow
226,0,226,-333236,-1468
227,0,227,-334704,-1468
228,0,228,-336172,-1468
229,0,229,-337640,-1468
230,0,230,-339108,-1468
231,0,231,-340576,-1468
232,0,232,-342044,-1468
233,0,233,-343512,-1468
234,0,234,-344980,-1468
235,0,235,-346448,-1468
236,0,236,-347916,-1468
237,0,237,-349384,-1468
238,0,238,-350852,-1468
239,0,239,-352320,-1468
240,0,240,-353788,-1468
241,0,241,-355256,-1468
242,0,242,-356724,-1468
243,0,243,-358192,-1468
244,0,244,-359660,-1468
245,0,245,-361128,-1468
246,0,246,-362596,-1468
247,0,247,-364064,-1468
248,0,248,-365532,-1468
249,0,249,-367000,-1468
250,0,250,-368468,-1468
251,0,251,-369936,-1468
252,0,252,-371404,-1468
253,0,253,-372872,-1468
254,0,254,-374340,-1468
255,0,255,-375808,-1468
256,0,256,-377276,-1468
257,0,257,-378744,-1468
258,0,258,-380212,-1468
259,0,259,-381680,-1468
260,0,260,-383148,-1468
261,0,261,-384616,-1468
262,0,262,-386084,-1468
263,0,263,-387552,-1468
264,0,264,-389020,-1468
265,0,265,-390488,-1468
266,0,266,-391956,-1468
267,0,267,-393424,-1468
268,0,268,-394892,-1468
269,0,269,-396360,-1468
270,0,270,-397828,-1468
271,0,271,-399296,-1468
272,0,272,-400764,-1468
273,0,273,-402232,-1468
274,0,274,-403700,-1468
275,0,275,-405168,-1468
276,0,276,-406636,-1468
277,0,277,-408104,-1468
278,0,278,-409572,-1468
279,0,279,-411040,-1468
280,0,280,-412508,-1468
281,0,281,-413976,-1468
282,0,282,-415444,-1468
283,0,283,-416912,-1468
284,0,284,-418380,-1468
285,0,285,-419848,-1468
286,0,286,-421316,-1468
287,0,287,-422784,-1468
288,0,288,-424252,-1468
289,0,289,-425720,-1468
290,0,290,-427188,-1468
291,0,291,-428656,-1468
292,0,292,-430124,-1468
293,0,293,-431592,-1468
294,0,294,-433060,-1468
295,0,295,-434528,-1468
296,0,296,-435996,-1468
297,0,297,-437464,-1468
298,0,298,-438932,-1468
299,0,299,-440400,-1468
300,0,300,-441868,-1468
301,0,301,-443336,-1468
302,0,302,-444804,-1468
303,0,303,-446272,-1468
304,0,304,-447740,-1468
305,0,305,-449208,-1468
306,0,306,-450676,-1468
307,0,307,-452144,-1468
308,0,308,-453612,-1468
309,0,309,-455080,-1468
310,0,310,-456548,-1468
311,0,311,-458016,-1468
312,0,312,-459484,-1468
313,0,313,-460952,-1468
314,0,314,-462420,-1468
315,0,315,-463888,-1468
316,0,316,-465356,-1468
317,0,317,-466824,-1468
318,0,318,-468292,-1468
319,0,319,-469760,-1468
320,0,320,-471228,-1468
321,0,321,-472696,-1468
322,0,322,-474164,-1468
323,0,323,-475632,-1468
324,0,324,-477100,-1468
325,0,325,-478568,-1468
326,0,326,-480036,-1468
327,0,327,-481504,-1468
328,0,328,-482972,-1468
329,0,329,-484440,-1468
330,0,330,-485908,-1468
331,0,331,-487376,-1468
332,0,332,-488844,-1468
333,0,333,-490312,-1468
334,0,334,-491780,-1468
335,0,335,-493248,-1468
336,0,336,-494716,-1468
337,0,337,-496184,-1468
338,0,338,-497652,-1468
339,0,339,-499120,-1468
340,0,340,-500588,-1468
341,0,341,-502056,-1468
342,0,342,-503524,-1468
343,0,343,-504992,-1468
344,0,344,-506460,-1468
345,0,345,-507928,-1468
346,0,346,-509396,-1468
347,0,347,-510864,-1468
348,0,348,-512332,-1468
349,0,349,-513800,-1468
350,0,350,-515268,-1468
351,0,351,-516736,-1468
352,0,352,-518204,-1468
353,0,353,-519672,-1468
354,0,354,-521140,-1468
355,0,355,-522608,-1468
356,0,356,-524076,-1468
357,0,357,-525544,-1468
358,0,358,-527012,-1468
359,0,359,-528480,-1468
360,0,360,-529948,-1468
361,0,361,-531416,-1468
362,0,362,-532884,-1468
363,0,363,-534352,-1468
364,0,364,-537974,-3622
365,0,365,-540128,-2154
366,0,366,-542282,-2154
367,0,367,-544436,-2154
368,0,368,-546590,-2154
369,0,369,-548744,-2154
370,0,370,-550898,-2154
371,0,371,-553052,-2154
372,0,372,-555206,-2154
373,0,373,-557360,-2154
374,0,374,-559514,-2154
375,0,375,-561668,-2154
376,0,376,-563822,-2154
377,0,377,-565976,-2154
378,0,378,-568130,-2154
379,0,379,-570284,-2154
380,0,380,-572438,-2154
381,0,381,-574592,-2154
382,0,382,-576746,-2154
383,0,383,-578900,-2154
384,0,384,-581054,-2154
385,0,385,-583208,-2154
386,0,386,-585362,-2154
387,0,387,-587516,-2154
388,0,388,-589670,-2154
389,0,389,-591824,-2154
390,0,390,-593978,-2154
391,0,391,-596132,-2154
392,0,392,-598286,-2154
393,0,393,-600440,-2154
394,0,394,-602594,-2154
395,0,395,-604748,-2154
396,0,396,-606902,-2154
397,0,397,-609056,-2154
398,0,398,-611210,-2154
399,0,399,-613364,-2154
400,0,400,-615518,-2154
401,0,401,-617672,-2154
402,0,402,-619826,-2154
403,0,403,-621980,-2154
404,0,404,-624134,-2154
405,0,405,-626288,-2154
406,0,406,-628442,-2154
407,0,407,-630596,-2154
408,0,408,-632750,-2154
409,0,409,-634904,-2154
410,0,410,-637058,-2154
411,0,411,-639212,-2154
412,0,412,-641366,-2154
413,0,413,-643520,-2154
414,0,414,-645674,-2154
415,0,415,-647828,-2154
416,0,416,-649982,-2154
417,0,417,-652136,-2154
418,0,418,-654290,-2154
419,0,419,-656444,-2154
420,0,420,-658598,-2154
421,0,421,-660752,-2154
422,0,422,-662906,-2154
423,0,423,-665060,-2154
424,0,424,-667214,-2154
425,0,425,-669368,-2154
426,0,426,-671522,-2154
427,0,427,-673676,-2154
428,0,428,-675830,-2154
429,0,429,-677984,-2154
430,0,430,-680138,-2154
431,0,431,-682292,-2154
432,0,432,-684446,-2154
433,0,433,-686600,-2154
434,0,434,-688754,-2154
435,0,435,-690908,-2154
436,0,436,-693062,-2154
437,0,437,-695216,-2154
438,0,438,-697370,-2154
439,0,439,-699524,-2154
440,0,440,-701678,-2154
441,0,441,-703832,-2154
442,0,442,-705986,-2154
443,0,443,-708140,-2154
444,0,444,-710294,-2154
445,0,445,-712448,-2154
446,0,446,-714602,-2154
447,0,447,-716756,-2154
448,0,448,-718910,-2154
449,0,449,-721064,-2154
450,0,450,-723218,-2154
451,0,451,-725372,-2154
452,0,452,-727526,-2154
453,0,453,-729680,-2154
454,0,454,-731834,-2154
455,0,455,-733988,-2154
456,0,456,-736142,-2154
457,0,457,-738296,-2154
458,0,458,-740450,-2154
459,0,459,-742604,-2154
460,0,460,-744758,-2154
461,0,461,-746912,-2154
462,0,462,-749066,-2154
463,0,463,-751220,-2154
464,0,464,-753374,-2154
465,0,465,-755528,-2154
466,0,466,-757682,-2154
467,0,467,-759836,-2154
468,0,468,-761990,-2154
469,0,469,-764144,-2154
470,0,470,-766298,-2154
471,0,471,-768452,-2154
472,0,472,-770606,-2154
473,0,473,-772760,-2154
474,0,474,-774914,-2154
475,0,475,-777068,-2154
476,0,476,-779222,-2154
477,0,477,-781376,-2154
478,0,478,-783530,-2154
479,0,479,-785684,-2154
480,0,480,-787838,-2154
481,0,481,-789992,-2154
482,0,482,-792146,-2154
483,0,483,-794300,-2154
484,0,484,-796454,-2154
485,0,485,-798608,-2154
486,0,486,-800762,-2154
487,0,487,-802916,-2154
488,0,488,-805070,-2154
489,0,489,-807224,-2154
490,0,490,-809378,-2154
491,0,491,-811532,-2154
492,0,492,-813686,-2154
493,0,493,-815840,-2154
494,0,494,-817994,-2154
495,0,495,-820148,-2154
496,0,496,-822302,-2154
497,0,497,-824456,-2154
498,0,498,-826610,-2154
499,0,499,-828764,-2154
500,0,500,-830918,-2154
501,0,501,-833072,-2154
502,0,502,-835226,-2154
503,0,503,-837380,-2154
504,0,504,-839534,-2154
505,0,505,-841688,-2154
506,0,506,-843842,-2154
507,0,507,-845996,-2154
508,0,508,-848150,-2154
509,0,509,-850304,-2154
510,0,510,-852458,-2154
511,0,511,-854612,-2154
512,0,512,-856766,-2154
513,0,513,-858920,-2154
514,0,514,-861074,-2154
515,0,515,-863228,-2154
516,0,516,-865382,-2154
517,0,517,-867536,-2154
518,0,518,-869690,-2154
519,0,519,-871844,-2154
520,0,520,-873998,-2154
521,0,521,-876152,-2154
522,0,522,-878306,-2154
523,0,523,-880460,-2154
524,0,524,-882614,-2154
525,0,525,-884768,-2154
526,0,526,-886922,-2154
527,0,527,-889076,-2154
528,0,528,-891230,-2154
529,0,529,-893384,-2154
530,0,530,-895538,-2154
531,0,531,-897692,-2154
532,0,532,-899846,-2154
533,0,533,-902000,-2154
534,0,534,-904154,-2154
535,0,535,-906308,-2154
536,0,536,-908462,-2154
537,0,537,-910616,-2154
538,0,538,-912770,-2154
539,0,539,-914924,-2154
540,0,540,-917078,-2154
541,0,541,-919232,-2154
542,0,542,-921386,-2154
543,0,543,-923540,-2154
544,0,544,-925694,-2154
545,0,545,-927848,-2154
546,0,546,-930002,-2154
547,0,547,-932156,-2154
548,0,548,-934310,-2154
549,0,549,-936464,-2154
550,0,550,-938618,-2154
551,0,551,-940772,-2154
552,0,552,-942926,-2154
553,0,553,-945080,-2154
554,0,554,-947234,-2154
555,0,555,-949388,-2154
556,0,556,-951542,-2154
557,0,557,-953696,-2154
558,0,558,-955850,-2154
559,0,559,-958004,-2154
560,0,560,-960158,-2154
561,0,561,-962312,-2154
562,0,562,-964466,-2154
563,0,563,-966620,-2154
564,0,564,-968774,-2154
565,0,565,-970928,-2154
566,0,566,-973082,-2154
567,0,567,-975236,-2154
568,0,568,-977390,-2154
569,0,569,-979544,-2154
570,0,570,-981698,-2154
571,0,571,-983852,-2154
572,0,572,-986006,-2154
573,0,573,-988160,-2154
574,0,574,-990314,-2154
575,0,575,-992468,-2154
576,0,576,-994622,-2154
577,0,577,-996776,-2154
578,0,578,-998930,-2154
579,0,579,-1001084,-2154
580,0,580,-1003238,-2154
581,0,581,-1010216,-6978
582,0,582,-1015040,-4824
583,0,583,-1019864,-4824
584,0,584,-1024688,-4824
585,0,585,-1029512,-4824
586,0,586,-1034336,-4824
587,0,587,-1039160,-4824
588,0,588,-1043984,-4824
589,0,589,-1048808,-4824
590,0,590,-1053632,-4824
591,0,591,-1058456,-4824
592,0,592,-1063280,-4824
593,0,593,-1068104,-4824
594,0,594,-1072928,-4824
595,0,595,-1077752,-4824
596,0,596,-1082576,-4824
597,0,597,-1087400,-4824
598,0,598,-1092224,-4824
599,0,599,-1097048,-4824
600,0,600,-1101872,-4824
601,0,601,-1106696,-4824
602,0,602,-1111520,-4824
603,0,603,-1116344,-4824
604,0,604,-1121168,-4824
605,0,605,-1125992,-4824
606,0,606,-1130816,-4824
607,0,607,-1135640,-4824
608,0,608,-1140464,-4824
609,0,609,-1145288,-4824
610,0,610,-1150112,-4824
611,0,611,-1154936,-4824
612,0,612,-1159760,-4824
613,0,613,-1164584,-4824
614,0,614,-1169408,-4824
615,0,615,-1174232,-4824
616,0,616,-1179056,-4824
617,0,617,-1183880,-4824
618,0,618,-1188704,-4824
619,0,619,-1193528,-4824
620,0,620,-1198352,-4824
621,0,621,-1203176,-4824
622,0,622,-1208000,-4824
623,0,623,-1212824,-4824
624,0,624,-1217648,-4824
625,0,625,-1222472,-4824
626,0,626,-1227296,-4824
627,0,627,-1232120,-4824
628,0,628,-1236944,-4824
629,0,629,-1241768,-4824
630,0,630,-1246592,-4824
631,0,631,-1251416,-4824
632,0,632,-1256240,-4824
633,0,633,-1261064,-4824
634,0,634,-1265888,-4824
635,0,635,-1270712,-4824
636,0,636,-1275536,-4824
637,0,637,-1280360,-4824
638,0,638,-1285184,-4824
639,0,639,-1290008,-4824
640,0,640,-1294832,-4824
641,0,641,-1299656,-4824
642,0,642,-1304480,-4824
643,0,643,-1309304,-4824
644,0,644,-1314128,-4824
645,0,645,-1318952,-4824
646,0,646,-1323776,-4824
647,0,647,-1328600,-4824
